MAG,5,10,15,23.5,August,July,October,September,Anoxic,Oxic,Oxycline
Ga0485172_maxbin.081_sub,1,0,1,0,0,0,1,0,0,1,1
Ga0485170_metabat2_ours.102,1,0,0,0,0,0,0,0,0,1,1
Ga0485172_metabat2_ours.083,1,0,0,0,0,0,1,0,0,1,0
Ga0485160_maxbin.092,1,0,0,0,0,0,1,0,0,1,0
Ga0485169_maxbin.156,1,0,0,0,0,0,0,0,0,0,0
Ga0485159_maxbin.127_sub,1,0,0,0,0,0,0,0,0,0,0
Ga0485159_metabat2_jgi.002,1,0,0,0,0,0,0,0,0,0,0
Ga0485162_maxbin.023,1,0,0,0,0,0,1,0,0,1,0
Ga0485160_metabat2_jgi.018,1,0,0,0,0,0,0,0,0,0,0
Ga0485166_maxbin.099,1,0,0,0,0,0,0,0,0,0,0
Ga0485163_metabat1.131,0,1,0,0,1,0,0,0,0,0,1
Ga0485163_metabat2_jgi.007,0,1,0,0,0,0,0,0,0,0,1
Ga0485157_metabat2_jgi.016,0,1,0,0,0,1,0,0,0,0,1
Ga0485157_metabat1.036,0,1,1,0,1,0,0,1,1,0,1
Ga0485160_maxbin.046,0,1,0,0,0,0,0,0,0,0,1
Ga0485162_maxbin.089,0,1,1,0,1,1,1,0,0,1,1
Ga0485163_maxbin.058_sub,0,1,0,0,0,0,0,0,0,0,1
Ga0485164_metabat1.042_sub,0,1,0,0,0,0,0,0,0,0,0
Ga0485157_metabat1.059,0,1,1,1,1,1,0,1,1,0,0
Ga0485163_maxbin.075_sub,0,1,0,0,0,0,0,0,0,0,0
Ga0485165_metabat2_ours.012_sub,0,0,1,1,1,0,0,1,1,0,0
Ga0485161_metabat2_jgi.016,0,0,1,0,1,0,0,0,1,0,0
Ga0485167_maxbin.109,0,0,1,1,1,1,0,1,1,0,0
Ga0485168_maxbin.153,0,0,1,1,0,0,1,0,0,1,1
Ga0485161_maxbin.110,0,0,1,1,1,1,0,0,1,0,0
Ga0485161_maxbin.075,0,0,1,1,1,1,0,0,1,0,0
Ga0485162_metabat1.001,0,0,0,1,0,0,0,1,1,0,0
Ga0485169_maxbin.201_sub,0,0,0,1,1,0,0,1,1,0,0
Ga0485162_metabat2_ours.050,0,0,0,1,0,0,0,0,0,0,0
Ga0485158_metabat2_jgi.024,0,0,0,1,0,0,0,1,0,0,0
Ga0485161_metabat2_ours.188_sub,0,0,0,0,0,1,0,0,0,0,0
Ga0485158_metabat1.076,0,0,0,0,0,1,0,0,0,0,0
Ga0485167_maxbin.132,0,0,0,0,0,1,0,0,1,0,0
Ga0485161_metabat2_jgi.003_sub,0,0,0,0,0,1,0,0,0,0,0
Ga0485172_maxbin.051_sub,0,0,0,0,0,0,1,0,0,1,0
Ga0485172_maxbin.047_sub,0,0,0,0,0,0,1,0,0,0,0
Ga0485168_metabat2_ours.001_sub,0,0,0,0,0,0,1,0,0,1,0
Ga0485163_metabat2_ours.198,0,0,0,0,0,0,1,0,0,1,0
Ga0485167_metabat2_ours.110_sub,0,0,0,0,0,0,0,1,0,0,0
Ga0485169_metabat2_ours.047_sub,0,0,0,0,0,0,0,1,0,0,0
Ga0485167_metabat2_ours.008,0,0,0,0,0,0,0,1,0,0,0
